from_id,to_id,relation
e1f14f5a-c1d3-40e4-b439-dd64ad231a90,e2a68ef4-43a9-4bfe-8f06-88bc3981a89c,MARRIED_TO
e2a68ef4-43a9-4bfe-8f06-88bc3981a89c,e1f14f5a-c1d3-40e4-b439-dd64ad231a90,MARRIED_TO
e1f14f5a-c1d3-40e4-b439-dd64ad231a90,6dc41c2c-f969-45e6-a56a-fb48ad80f045,HAS_CHILD
e2a68ef4-43a9-4bfe-8f06-88bc3981a89c,6dc41c2c-f969-45e6-a56a-fb48ad80f045,HAS_CHILD
6dc41c2c-f969-45e6-a56a-fb48ad80f045,e1f14f5a-c1d3-40e4-b439-dd64ad231a90,SUPPORTS
e1f14f5a-c1d3-40e4-b439-dd64ad231a90,d8357b20-3b62-431a-983c-1c931193dfc3,HAS_CHILD
e2a68ef4-43a9-4bfe-8f06-88bc3981a89c,d8357b20-3b62-431a-983c-1c931193dfc3,HAS_CHILD
d8357b20-3b62-431a-983c-1c931193dfc3,e1f14f5a-c1d3-40e4-b439-dd64ad231a90,SUPPORTS
e1f14f5a-c1d3-40e4-b439-dd64ad231a90,2213cee4-6bfe-4cde-81db-0aaa04ce64a5,HAS_CHILD
e2a68ef4-43a9-4bfe-8f06-88bc3981a89c,2213cee4-6bfe-4cde-81db-0aaa04ce64a5,HAS_CHILD
e1f14f5a-c1d3-40e4-b439-dd64ad231a90,2c2f1662-7594-430a-878a-9e8ce156d139,HAS_CHILD
e2a68ef4-43a9-4bfe-8f06-88bc3981a89c,2c2f1662-7594-430a-878a-9e8ce156d139,HAS_CHILD
2c2f1662-7594-430a-878a-9e8ce156d139,e2a68ef4-43a9-4bfe-8f06-88bc3981a89c,SUPPORTS
d08a63a7-d401-4066-8c8e-f5245cde38d8,0872ea60-4e27-4a9f-beac-69b24767e4bf,MARRIED_TO
0872ea60-4e27-4a9f-beac-69b24767e4bf,d08a63a7-d401-4066-8c8e-f5245cde38d8,MARRIED_TO
c81571c9-c464-4bb8-b504-b90f16bd1d60,f3019378-fae1-4201-8232-2391c0e0cbc4,MARRIED_TO
f3019378-fae1-4201-8232-2391c0e0cbc4,c81571c9-c464-4bb8-b504-b90f16bd1d60,MARRIED_TO
c81571c9-c464-4bb8-b504-b90f16bd1d60,82e230d5-57e8-4e8c-8e2b-f424fe3e099d,HAS_CHILD
f3019378-fae1-4201-8232-2391c0e0cbc4,82e230d5-57e8-4e8c-8e2b-f424fe3e099d,HAS_CHILD
c81571c9-c464-4bb8-b504-b90f16bd1d60,89684122-a1cf-4e15-af4b-1611e822816e,HAS_CHILD
f3019378-fae1-4201-8232-2391c0e0cbc4,89684122-a1cf-4e15-af4b-1611e822816e,HAS_CHILD
c81571c9-c464-4bb8-b504-b90f16bd1d60,89c8b419-f03f-406d-986f-1f3581ebdbbc,HAS_CHILD
f3019378-fae1-4201-8232-2391c0e0cbc4,89c8b419-f03f-406d-986f-1f3581ebdbbc,HAS_CHILD
2077a523-935b-4422-ab0e-7514dd5f3169,25a1046b-be58-40f1-afdf-5e566e19b184,MARRIED_TO
25a1046b-be58-40f1-afdf-5e566e19b184,2077a523-935b-4422-ab0e-7514dd5f3169,MARRIED_TO
2077a523-935b-4422-ab0e-7514dd5f3169,1b72ab74-d9dd-41fe-89b4-f5f549efdc5b,HAS_CHILD
25a1046b-be58-40f1-afdf-5e566e19b184,1b72ab74-d9dd-41fe-89b4-f5f549efdc5b,HAS_CHILD
1b72ab74-d9dd-41fe-89b4-f5f549efdc5b,25a1046b-be58-40f1-afdf-5e566e19b184,SUPPORTS
2077a523-935b-4422-ab0e-7514dd5f3169,27d60f16-a50d-4404-9c89-d58e04b91c78,HAS_CHILD
25a1046b-be58-40f1-afdf-5e566e19b184,27d60f16-a50d-4404-9c89-d58e04b91c78,HAS_CHILD
2077a523-935b-4422-ab0e-7514dd5f3169,b511e444-0ecb-4927-b7c1-d9e4c8693564,HAS_CHILD
25a1046b-be58-40f1-afdf-5e566e19b184,b511e444-0ecb-4927-b7c1-d9e4c8693564,HAS_CHILD
2077a523-935b-4422-ab0e-7514dd5f3169,3a7c9684-714a-4173-9492-0c37cd08bc04,HAS_CHILD
25a1046b-be58-40f1-afdf-5e566e19b184,3a7c9684-714a-4173-9492-0c37cd08bc04,HAS_CHILD
3a7c9684-714a-4173-9492-0c37cd08bc04,2077a523-935b-4422-ab0e-7514dd5f3169,SUPPORTS
d015fce0-e88d-4b76-88ec-738eb45a9565,ba58b4ad-2600-431e-b1db-8dec183e9138,MARRIED_TO
ba58b4ad-2600-431e-b1db-8dec183e9138,d015fce0-e88d-4b76-88ec-738eb45a9565,MARRIED_TO
d015fce0-e88d-4b76-88ec-738eb45a9565,5f53b18c-fdee-4b6f-b114-43fd0b79ece7,HAS_CHILD
ba58b4ad-2600-431e-b1db-8dec183e9138,5f53b18c-fdee-4b6f-b114-43fd0b79ece7,HAS_CHILD
5f53b18c-fdee-4b6f-b114-43fd0b79ece7,d015fce0-e88d-4b76-88ec-738eb45a9565,SUPPORTS
d015fce0-e88d-4b76-88ec-738eb45a9565,40082251-4f5d-4e92-a7ca-80b51e15a683,HAS_CHILD
ba58b4ad-2600-431e-b1db-8dec183e9138,40082251-4f5d-4e92-a7ca-80b51e15a683,HAS_CHILD
40082251-4f5d-4e92-a7ca-80b51e15a683,d015fce0-e88d-4b76-88ec-738eb45a9565,SUPPORTS
d015fce0-e88d-4b76-88ec-738eb45a9565,afab2326-d9be-486c-a068-d3d692d82162,HAS_CHILD
ba58b4ad-2600-431e-b1db-8dec183e9138,afab2326-d9be-486c-a068-d3d692d82162,HAS_CHILD
afab2326-d9be-486c-a068-d3d692d82162,ba58b4ad-2600-431e-b1db-8dec183e9138,SUPPORTS
30c49078-5368-4eaa-80cd-ebb5659bf5b7,6e9d9565-5cd5-4552-8325-7ad1125ae0f9,MARRIED_TO
6e9d9565-5cd5-4552-8325-7ad1125ae0f9,30c49078-5368-4eaa-80cd-ebb5659bf5b7,MARRIED_TO
30c49078-5368-4eaa-80cd-ebb5659bf5b7,b089f8f7-093f-4392-954a-89d6d5f2b3e3,HAS_CHILD
6e9d9565-5cd5-4552-8325-7ad1125ae0f9,b089f8f7-093f-4392-954a-89d6d5f2b3e3,HAS_CHILD
d8f32617-0adb-44c5-a155-5541b54eba43,a782e313-1cd8-4f12-8f82-9418e87955d2,MARRIED_TO
a782e313-1cd8-4f12-8f82-9418e87955d2,d8f32617-0adb-44c5-a155-5541b54eba43,MARRIED_TO
d8f32617-0adb-44c5-a155-5541b54eba43,a810b437-8429-4452-9e5e-af9fae194924,HAS_CHILD
a782e313-1cd8-4f12-8f82-9418e87955d2,a810b437-8429-4452-9e5e-af9fae194924,HAS_CHILD
a810b437-8429-4452-9e5e-af9fae194924,a782e313-1cd8-4f12-8f82-9418e87955d2,SUPPORTS
d8f32617-0adb-44c5-a155-5541b54eba43,ba0de5ef-dae4-4f03-a782-51e83431f3ac,HAS_CHILD
a782e313-1cd8-4f12-8f82-9418e87955d2,ba0de5ef-dae4-4f03-a782-51e83431f3ac,HAS_CHILD
ba0de5ef-dae4-4f03-a782-51e83431f3ac,d8f32617-0adb-44c5-a155-5541b54eba43,SUPPORTS
d8f32617-0adb-44c5-a155-5541b54eba43,8c414114-3302-4992-9521-94aab0d958c7,HAS_CHILD
